                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.4296,                 1.2933,                 1.3311,                0.77387,                0.60335,                0.70229,                0.46147,                 1.1626,                 0.9375,                 1.1364,              0.0045495,              0.0045495,              0.0045495
                    113,                 1.4287,                 1.2914,                 1.3289,                0.77517,                0.60212,                0.70219,                0.46173,                 1.1622,                0.93681,                 1.1361,              0.0044999,              0.0044999,              0.0044999
                    114,                 1.4227,                 1.2878,                 1.3284,                0.77651,                0.60261,                0.70305,                0.46212,                 1.1617,                 0.9359,                 1.1358,              0.0044504,              0.0044504,              0.0044504
                    115,                 1.4193,                 1.2831,                 1.3255,                 0.7766,                0.60336,                0.70345,                0.46248,                 1.1609,                0.93523,                 1.1353,              0.0044009,              0.0044009,              0.0044009
                    116,                 1.4182,                 1.2791,                 1.3212,                0.77639,                 0.6042,                0.70352,                0.46275,                 1.1603,                0.93443,                 1.1347,              0.0043513,              0.0043513,              0.0043513
                    117,                 1.4203,                 1.2808,                 1.3252,                0.77655,                0.60375,                0.70372,                0.46311,                 1.1596,                 0.9332,                 1.1342,              0.0043018,              0.0043018,              0.0043018
                    118,                 1.4202,                 1.2782,                 1.3238,                 0.7778,                0.60312,                0.70419,                0.46342,                  1.159,                0.93219,                 1.1337,              0.0042522,              0.0042522,              0.0042522
                    119,                 1.4185,                 1.2786,                 1.3243,                 0.7774,                0.60333,                0.70432,                0.46381,                 1.1582,                0.93132,                  1.133,              0.0042027,              0.0042027,              0.0042027
                    120,                 1.4173,                 1.2779,                  1.324,                0.77839,                0.60269,                  0.705,                0.46404,                 1.1578,                0.93021,                 1.1326,              0.0041531,              0.0041531,              0.0041531
                    121,                 1.4159,                  1.277,                 1.3211,                0.77632,                0.60376,                0.70474,                0.46441,                 1.1576,                0.92943,                 1.1325,              0.0041036,              0.0041036,              0.0041036
                    122,                 1.4133,                 1.2765,                 1.3203,                  0.775,                0.60497,                0.70553,                0.46463,                 1.1569,                0.92863,                 1.1321,               0.004054,               0.004054,               0.004054
                    123,                 1.4152,                 1.2767,                 1.3219,                 0.7746,                0.60474,                0.70539,                0.46495,                 1.1566,                0.92761,                 1.1318,              0.0040044,              0.0040044,              0.0040044
                    124,                 1.4147,                 1.2772,                 1.3197,                0.77708,                0.60371,                0.70567,                0.46533,                  1.156,                0.92693,                 1.1314,              0.0039549,              0.0039549,              0.0039549
                    125,                 1.4124,                 1.2721,                 1.3197,                0.77852,                0.60372,                0.70615,                0.46579,                 1.1557,                0.92595,                 1.1312,              0.0039054,              0.0039054,              0.0039054
                    126,                 1.4113,                 1.2749,                 1.3203,                0.78029,                0.60432,                0.70645,                0.46584,                 1.1554,                0.92529,                  1.131,              0.0038558,              0.0038558,              0.0038558
                    127,                 1.4119,                 1.2707,                 1.3189,                 0.7805,                0.60508,                0.70669,                0.46632,                 1.1547,                 0.9246,                 1.1305,              0.0038063,              0.0038063,              0.0038063
                    128,                 1.4112,                 1.2701,                 1.3178,                0.77778,                0.60652,                0.70671,                0.46655,                 1.1541,                0.92418,                 1.1301,              0.0037567,              0.0037567,              0.0037567
                    129,                 1.4065,                 1.2646,                  1.315,                0.77686,                0.60732,                 0.7071,                0.46687,                  1.154,                 0.9238,                 1.1298,              0.0037072,              0.0037072,              0.0037072
                    130,                 1.4095,                 1.2676,                 1.3173,                0.77703,                 0.6075,                0.70742,                0.46732,                 1.1533,                0.92301,                 1.1295,              0.0036576,              0.0036576,              0.0036576
                    131,                 1.4086,                 1.2698,                 1.3183,                0.77968,                0.60702,                0.70768,                0.46759,                 1.1527,                0.92216,                 1.1291,               0.003608,               0.003608,               0.003608
                    132,                 1.4083,                 1.2606,                 1.3147,                 0.7812,                0.60601,                0.70794,                0.46789,                 1.1523,                0.92136,                 1.1287,              0.0035585,              0.0035585,              0.0035585
                    133,                 1.4074,                 1.2649,                 1.3148,                0.78003,                0.60717,                 0.7081,                0.46795,                 1.1517,                0.92104,                 1.1281,              0.0035089,              0.0035089,              0.0035089
                    134,                 1.4051,                 1.2602,                 1.3132,                0.78146,                0.60717,                0.70845,                0.46798,                 1.1515,                0.92031,                 1.1278,              0.0034594,              0.0034594,              0.0034594
                    135,                 1.4076,                  1.263,                  1.315,                0.77988,                0.60876,                0.70876,                0.46812,                 1.1513,                0.91979,                 1.1276,              0.0034098,              0.0034098,              0.0034098
                    136,                 1.4043,                 1.2584,                 1.3138,                0.77892,                0.60991,                0.70874,                0.46811,                 1.1507,                0.91929,                 1.1274,              0.0033603,              0.0033603,              0.0033603
                    137,                 1.4003,                 1.2573,                  1.311,                0.78212,                0.60827,                0.70915,                0.46812,                 1.1501,                0.91868,                 1.1269,              0.0033107,              0.0033107,              0.0033107
                    138,                 1.4008,                 1.2569,                  1.311,                0.78004,                0.60948,                0.70935,                0.46871,                 1.1495,                0.91823,                 1.1264,              0.0032612,              0.0032612,              0.0032612
                    139,                 1.3999,                  1.258,                 1.3117,                0.77914,                 0.6098,                0.70943,                0.46922,                 1.1491,                0.91787,                 1.1261,              0.0032116,              0.0032116,              0.0032116
                    140,                 1.4008,                 1.2542,                 1.3103,                0.77825,                0.61073,                0.70938,                0.46935,                 1.1486,                0.91706,                 1.1257,              0.0031621,              0.0031621,              0.0031621
                    141,                 1.3967,                 1.2509,                 1.3065,                0.77974,                0.61024,                0.70967,                0.46975,                 1.1483,                0.91658,                 1.1253,              0.0031126,              0.0031126,              0.0031126
                    142,                 1.3996,                 1.2525,                 1.3099,                0.77895,                0.60991,                0.70969,                0.46997,                 1.1476,                0.91613,                  1.125,               0.003063,               0.003063,               0.003063
                    143,                 1.3955,                 1.2497,                  1.305,                0.78017,                 0.6092,                0.70968,                0.47033,                 1.1472,                0.91557,                 1.1247,              0.0030135,              0.0030135,              0.0030135
                    144,                 1.3976,                 1.2514,                 1.3091,                0.77933,                0.61084,                0.70987,                0.47059,                 1.1467,                 0.9151,                 1.1244,              0.0029639,              0.0029639,              0.0029639
                    145,                  1.392,                 1.2483,                 1.3063,                0.78036,                0.60975,                0.71059,                0.47092,                 1.1463,                0.91401,                 1.1242,              0.0029144,              0.0029144,              0.0029144
                    146,                 1.3926,                 1.2513,                 1.3079,                0.77898,                0.61134,                 0.7108,                0.47117,                 1.1456,                0.91318,                 1.1237,              0.0028648,              0.0028648,              0.0028648
                    147,                  1.391,                 1.2456,                 1.3069,                0.77903,                 0.6121,                0.71112,                0.47141,                 1.1451,                0.91213,                 1.1233,              0.0028153,              0.0028153,              0.0028153
                    148,                 1.3902,                  1.243,                 1.3037,                0.77804,                0.61283,                0.71136,                0.47149,                 1.1444,                 0.9117,                 1.1229,              0.0027657,              0.0027657,              0.0027657
