                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 1.2749,                 1.1038,                  1.399,                0.80477,                0.66117,                0.75959,                0.51181,                 1.0931,                  0.819,                 1.2889,              0.0031291,              0.0031291,              0.0031291
                    107,                 1.2757,                 1.1015,                 1.3977,                0.80469,                0.66078,                0.75951,                0.51211,                 1.0922,                0.81836,                 1.2878,               0.003063,               0.003063,               0.003063
                    108,                 1.2742,                 1.0995,                 1.3927,                0.80446,                 0.6616,                0.75993,                0.51255,                 1.0916,                0.81743,                 1.2866,              0.0029969,              0.0029969,              0.0029969
                    109,                 1.2718,                 1.0997,                  1.395,                0.80381,                0.66237,                0.76017,                0.51286,                 1.0913,                0.81668,                 1.2861,              0.0029309,              0.0029309,              0.0029309
                    110,                 1.2688,                 1.0951,                 1.3969,                 0.8044,                0.66186,                0.76055,                0.51331,                 1.0906,                0.81558,                 1.2853,              0.0028648,              0.0028648,              0.0028648
                    111,                 1.2723,                 1.0991,                 1.3949,                0.80182,                0.66424,                0.76077,                0.51341,                 1.0903,                0.81497,                 1.2851,              0.0027987,              0.0027987,              0.0027987
                    112,                 1.2687,                 1.0954,                 1.3928,                0.80095,                0.66482,                0.76116,                 0.5137,                 1.0898,                0.81433,                 1.2845,              0.0027327,              0.0027327,              0.0027327
                    113,                 1.2678,                 1.0937,                 1.3897,                0.80222,                0.66372,                0.76122,                0.51391,                 1.0895,                0.81354,                  1.284,              0.0026666,              0.0026666,              0.0026666
                    114,                 1.2614,                  1.085,                 1.3855,                 0.8026,                 0.6639,                0.76141,                0.51409,                 1.0893,                0.81307,                 1.2835,              0.0026005,              0.0026005,              0.0026005
                    115,                  1.262,                 1.0856,                 1.3846,                 0.8018,                0.66463,                0.76183,                0.51454,                  1.089,                0.81261,                  1.283,              0.0025345,              0.0025345,              0.0025345
                    116,                  1.256,                 1.0806,                   1.38,                0.80408,                0.66292,                 0.7621,                 0.5149,                 1.0884,                0.81181,                 1.2822,              0.0024684,              0.0024684,              0.0024684
                    117,                 1.2577,                 1.0809,                 1.3805,                0.80166,                0.66363,                 0.7625,                0.51499,                  1.088,                0.81107,                 1.2816,              0.0024023,              0.0024023,              0.0024023
                    118,                 1.2578,                 1.0829,                 1.3815,                0.80143,                0.66416,                0.76235,                0.51509,                 1.0873,                0.81071,                 1.2808,              0.0023363,              0.0023363,              0.0023363
                    119,                 1.2578,                 1.0802,                 1.3803,                0.80182,                0.66462,                0.76239,                0.51512,                 1.0867,                0.80985,                   1.28,              0.0022702,              0.0022702,              0.0022702
                    120,                 1.2561,                 1.0736,                 1.3752,                0.80297,                0.66445,                0.76277,                0.51528,                 1.0861,                0.80944,                 1.2787,              0.0022041,              0.0022041,              0.0022041
                    121,                   1.25,                 1.0737,                 1.3771,                0.80361,                0.66394,                0.76298,                0.51571,                 1.0857,                0.80902,                  1.278,              0.0021381,              0.0021381,              0.0021381
                    122,                 1.2492,                 1.0703,                 1.3735,                0.80417,                0.66369,                0.76323,                0.51562,                 1.0852,                0.80854,                 1.2771,               0.002072,               0.002072,               0.002072
                    123,                 1.2503,                   1.07,                 1.3726,                0.80281,                0.66456,                0.76372,                0.51589,                 1.0846,                0.80793,                  1.276,              0.0020059,              0.0020059,              0.0020059
                    124,                 1.2523,                 1.0706,                 1.3727,                0.80306,                0.66517,                0.76364,                 0.5163,                 1.0843,                0.80704,                 1.2754,              0.0019399,              0.0019399,              0.0019399
                    125,                 1.2459,                 1.0634,                 1.3683,                0.80505,                0.66348,                0.76359,                0.51662,                 1.0838,                0.80646,                 1.2747,              0.0018738,              0.0018738,              0.0018738
                    126,                 1.2426,                 1.0654,                 1.3708,                0.80515,                0.66389,                0.76401,                0.51681,                 1.0833,                0.80605,                 1.2737,              0.0018077,              0.0018077,              0.0018077
                    127,                 1.2442,                 1.0623,                 1.3693,                0.80663,                0.66308,                 0.7642,                0.51729,                 1.0825,                0.80537,                 1.2729,              0.0017417,              0.0017417,              0.0017417
                    128,                 1.2408,                 1.0572,                 1.3665,                0.80576,                0.66352,                0.76429,                0.51764,                 1.0822,                0.80448,                 1.2722,              0.0016756,              0.0016756,              0.0016756
                    129,                   1.24,                 1.0557,                 1.3601,                0.80758,                0.66259,                0.76454,                0.51779,                 1.0817,                 0.8038,                 1.2714,              0.0016095,              0.0016095,              0.0016095
                    130,                 1.2352,                 1.0545,                  1.366,                0.80809,                0.66221,                0.76494,                0.51813,                 1.0813,                0.80268,                 1.2711,              0.0015435,              0.0015435,              0.0015435
                    131,                 1.2369,                 1.0526,                 1.3619,                0.80875,                0.66131,                0.76494,                0.51818,                 1.0809,                0.80228,                 1.2706,              0.0014774,              0.0014774,              0.0014774
